[log] 运行日志写入: log/run_ACM_20260901_092646.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
[data] Graph size: 4019 nodes, 53834 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] vanilla GATConv
(T) | Epoch=001, loss=10.3755, con=8.9917, intent=4.7556, rec=0.0020, this epoch 1.6240, total 1.6240
(T) | Epoch=002, loss=10.2478, con=8.9914, intent=4.1811, rec=0.0002, this epoch 1.3583, total 2.9823
(T) | Epoch=003, loss=10.1164, con=8.9913, intent=3.7065, rec=0.0002, this epoch 1.1354, total 4.1177
(T) | Epoch=004, loss=10.0088, con=8.9910, intent=3.3395, rec=0.0001, this epoch 1.2025, total 5.3202
(T) | Epoch=005, loss=9.9276, con=8.9902, intent=3.0695, rec=0.0000, this epoch 1.0570, total 6.3772
(T) | Epoch=006, loss=9.8695, con=8.9897, intent=2.8781, rec=0.0000, this epoch 1.2475, total 7.6247
(T) | Epoch=007, loss=9.8280, con=8.9879, intent=2.7467, rec=0.0000, this epoch 1.1418, total 8.7666
(T) | Epoch=008, loss=9.8018, con=8.9882, intent=2.6592, rec=0.0000, this epoch 1.3712, total 10.1378
(T) | Epoch=009, loss=9.7828, con=8.9868, intent=2.6022, rec=0.0000, this epoch 1.3281, total 11.4658
(T) | Epoch=010, loss=9.7619, con=8.9776, intent=2.5647, rec=0.0000, this epoch 1.1077, total 12.5736
(T) | Epoch=011, loss=9.7586, con=8.9822, intent=2.5403, rec=0.0000, this epoch 1.2128, total 13.7864
(T) | Epoch=012, loss=9.7547, con=8.9841, intent=2.5230, rec=0.0000, this epoch 1.0766, total 14.8630
(T) | Epoch=013, loss=9.7478, con=8.9818, intent=2.5098, rec=0.0000, this epoch 1.3160, total 16.1789
(T) | Epoch=014, loss=9.7330, con=8.9708, intent=2.4990, rec=0.0000, this epoch 1.0167, total 17.1957
(T) | Epoch=015, loss=9.6847, con=8.9258, intent=2.4903, rec=0.0000, this epoch 1.4389, total 18.6346
(T) | Epoch=016, loss=9.7241, con=8.9679, intent=2.4828, rec=0.0000, this epoch 1.1616, total 19.7962
(T) | Epoch=017, loss=9.7317, con=8.9781, intent=2.4764, rec=0.0000, this epoch 1.3948, total 21.1911
(T) | Epoch=018, loss=9.7306, con=8.9791, intent=2.4709, rec=0.0000, this epoch 1.3323, total 22.5233
(T) | Epoch=019, loss=9.7277, con=8.9782, intent=2.4661, rec=0.0000, this epoch 1.1343, total 23.6576
(T) | Epoch=020, loss=9.7237, con=8.9760, intent=2.4620, rec=0.0000, this epoch 1.2148, total 24.8725
(T) | Epoch=021, loss=9.7130, con=8.9670, intent=2.4585, rec=0.0000, this epoch 1.2282, total 26.1007
(T) | Epoch=022, loss=9.7035, con=8.9588, intent=2.4557, rec=0.0000, this epoch 1.3473, total 27.4480
(T) | Epoch=023, loss=9.6883, con=8.9448, intent=2.4534, rec=0.0000, this epoch 1.0970, total 28.5450
(T) | Epoch=024, loss=9.6626, con=8.9201, intent=2.4517, rec=0.0000, this epoch 1.3955, total 29.9405
