[log] 运行日志写入: log/run_DBLP_20260831_180643.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
  [cs_full_graph] DBLP: merged ['apa.npz', 'apcpa.npz', 'aptpa.npz'] -> 8947540 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] apcpa.npz: 5000495 -> 394878 edges (avg_deg 1233 -> 97, top-k=50)
  [sparsify] aptpa.npz: 7043571 -> 392096 edges (avg_deg 1736 -> 97, top-k=50)
[data] 多关系 R=3: apa(7056 edges), apcpa(394878 edges), aptpa(392096 edges)
[data] Graph size: 4057 nodes, 7056 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] MultiRelation+ICRA  R=3 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=001, loss=10.3996, con=8.4541, intent=5.1197, rec=0.0168, this epoch 2.0677, total 2.0677  alpha=[apa:0.334, apcpa:0.339, aptpa:0.327]
(T) | Epoch=002, loss=9.8487, con=8.3777, intent=4.2412, rec=0.0156, this epoch 1.7256, total 3.7933
(T) | Epoch=003, loss=9.4611, con=8.2680, intent=3.6513, rec=0.0122, this epoch 1.7779, total 5.5712
(T) | Epoch=004, loss=9.1525, con=8.1152, intent=3.3088, rec=0.0157, this epoch 1.7386, total 7.3098
(T) | Epoch=005, loss=8.9082, con=7.9630, intent=3.0800, rec=0.0135, this epoch 1.7527, total 9.0625
(T) | Epoch=006, loss=8.7424, con=7.8558, intent=2.9251, rec=0.0136, this epoch 1.9054, total 10.9679
(T) | Epoch=007, loss=8.6385, con=7.7905, intent=2.8194, rec=0.0118, this epoch 1.7489, total 12.7167
(T) | Epoch=008, loss=8.5858, con=7.7592, intent=2.7446, rec=0.0130, this epoch 1.7807, total 14.4975
(T) | Epoch=009, loss=8.5142, con=7.7019, intent=2.6923, rec=0.0134, this epoch 1.7336, total 16.2311
(T) | Epoch=010, loss=8.4527, con=7.6471, intent=2.6555, rec=0.0149, this epoch 1.7345, total 17.9656  alpha=[apa:0.424, apcpa:0.281, aptpa:0.296]
(T) | Epoch=011, loss=8.4278, con=7.6279, intent=2.6293, rec=0.0156, this epoch 1.7470, total 19.7125
(T) | Epoch=012, loss=8.3970, con=7.6005, intent=2.6100, rec=0.0156, this epoch 1.7318, total 21.4443
(T) | Epoch=013, loss=8.3460, con=7.5491, intent=2.5954, rec=0.0154, this epoch 1.7332, total 23.1775
(T) | Epoch=014, loss=8.2972, con=7.5020, intent=2.5836, rec=0.0184, this epoch 1.7977, total 24.9753
(T) | Epoch=015, loss=8.2739, con=7.4790, intent=2.5731, rec=0.0189, this epoch 1.7339, total 26.7092
(T) | Epoch=016, loss=8.2610, con=7.4681, intent=2.5632, rec=0.0207, this epoch 1.7369, total 28.4461
(T) | Epoch=017, loss=8.2413, con=7.4501, intent=2.5542, rec=0.0259, this epoch 1.7409, total 30.1870
(T) | Epoch=018, loss=8.2021, con=7.4147, intent=2.5460, rec=0.0222, this epoch 1.7286, total 31.9156
(T) | Epoch=019, loss=8.1673, con=7.3804, intent=2.5388, rec=0.0220, this epoch 1.7482, total 33.6638
(T) | Epoch=020, loss=8.1556, con=7.3712, intent=2.5328, rec=0.0237, this epoch 1.7782, total 35.4420  alpha=[apa:0.502, apcpa:0.261, aptpa:0.238]
(T) | Epoch=021, loss=8.1486, con=7.3648, intent=2.5278, rec=0.0281, this epoch 2.0147, total 37.4568
(T) | Epoch=022, loss=8.1328, con=7.3479, intent=2.5238, rec=0.0323, this epoch 1.7396, total 39.1964
(T) | Epoch=023, loss=8.0997, con=7.3138, intent=2.5211, rec=0.0344, this epoch 1.8032, total 40.9996
(T) | Epoch=024, loss=8.0822, con=7.2960, intent=2.5191, rec=0.0317, this epoch 1.7433, total 42.7429
(T) | Epoch=025, loss=8.1072, con=7.3215, intent=2.5169, rec=0.0324, this epoch 1.7632, total 44.5062
