[log] 运行日志写入: log/run_ACM_20260831_152554.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[data] Graph size: 4019 nodes, 53834 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=001, loss=10.8142, con=8.9639, intent=5.3581, rec=0.0258, this epoch 1.3375, total 1.3375  alpha=[pap:0.463, psp:0.537]
(T) | Epoch=002, loss=10.1215, con=8.9634, intent=4.0830, rec=0.0098, this epoch 0.9451, total 2.2826
(T) | Epoch=003, loss=9.9316, con=9.0018, intent=3.4326, rec=0.0039, this epoch 0.9687, total 3.2513
(T) | Epoch=004, loss=9.7994, con=8.9716, intent=3.0870, rec=0.0008, this epoch 0.9583, total 4.2096
(T) | Epoch=005, loss=9.7427, con=8.9746, intent=2.8728, rec=0.0004, this epoch 0.9978, total 5.2074
(T) | Epoch=006, loss=9.6980, con=8.9740, intent=2.7334, rec=0.0012, this epoch 0.9612, total 6.1686
(T) | Epoch=007, loss=9.6653, con=8.9693, intent=2.6415, rec=0.0005, this epoch 0.9497, total 7.1183
(T) | Epoch=008, loss=9.6437, con=8.9580, intent=2.5803, rec=0.0005, this epoch 0.9580, total 8.0764
(T) | Epoch=009, loss=9.6230, con=8.9395, intent=2.5404, rec=0.0002, this epoch 0.9571, total 9.0335
(T) | Epoch=010, loss=9.6317, con=8.9502, intent=2.5159, rec=0.0004, this epoch 0.9944, total 10.0279  alpha=[pap:0.514, psp:0.486]
(T) | Epoch=011, loss=9.6512, con=8.9882, intent=2.5006, rec=0.0002, this epoch 0.9623, total 10.9902
(T) | Epoch=012, loss=9.6332, con=8.9867, intent=2.4911, rec=0.0000, this epoch 0.9545, total 11.9447
(T) | Epoch=013, loss=9.6261, con=8.9855, intent=2.4848, rec=0.0001, this epoch 0.9507, total 12.8953
(T) | Epoch=014, loss=9.6312, con=8.9858, intent=2.4804, rec=0.0000, this epoch 0.9504, total 13.8458
(T) | Epoch=015, loss=9.6413, con=8.9860, intent=2.4774, rec=0.0000, this epoch 0.9570, total 14.8028
(T) | Epoch=016, loss=9.6528, con=8.9856, intent=2.4754, rec=0.0001, this epoch 0.9527, total 15.7555
(T) | Epoch=017, loss=9.6571, con=8.9849, intent=2.4738, rec=0.0001, this epoch 0.9435, total 16.6990
(T) | Epoch=018, loss=9.6569, con=8.9840, intent=2.4720, rec=0.0001, this epoch 0.9639, total 17.6628
(T) | Epoch=019, loss=9.6535, con=8.9825, intent=2.4700, rec=0.0001, this epoch 0.9666, total 18.6295
(T) | Epoch=020, loss=9.6488, con=8.9797, intent=2.4677, rec=0.0000, this epoch 0.9653, total 19.5948  alpha=[pap:0.497, psp:0.503]
(T) | Epoch=021, loss=9.6410, con=8.9726, intent=2.4653, rec=0.0001, this epoch 1.1319, total 20.7267
(T) | Epoch=022, loss=9.6303, con=8.9613, intent=2.4630, rec=0.0001, this epoch 0.9570, total 21.6836
(T) | Epoch=023, loss=9.6062, con=8.9353, intent=2.4610, rec=0.0001, this epoch 1.0596, total 22.7433
(T) | Epoch=024, loss=9.5525, con=8.8803, intent=2.4601, rec=0.0002, this epoch 0.9612, total 23.7045
(T) | Epoch=025, loss=9.6392, con=8.9644, intent=2.4588, rec=0.0001, this epoch 0.9571, total 24.6616
(T) | Epoch=026, loss=9.6610, con=8.9759, intent=2.4587, rec=0.0001, this epoch 0.9934, total 25.6549
(T) | Epoch=027, loss=9.6715, con=8.9764, intent=2.4591, rec=0.0003, this epoch 0.9640, total 26.6190
(T) | Epoch=028, loss=9.6781, con=8.9756, intent=2.4593, rec=0.0005, this epoch 0.9554, total 27.5743
(T) | Epoch=029, loss=9.6814, con=8.9735, intent=2.4593, rec=0.0007, this epoch 0.9628, total 28.5371
(T) | Epoch=030, loss=9.6916, con=8.9709, intent=2.4590, rec=0.0010, this epoch 0.9647, total 29.5018  alpha=[pap:0.526, psp:0.474]
(T) | Epoch=031, loss=9.6909, con=8.9643, intent=2.4585, rec=0.0022, this epoch 0.9587, total 30.4605
(T) | Epoch=032, loss=9.6907, con=8.9547, intent=2.4577, rec=0.0019, this epoch 0.9589, total 31.4194
(T) | Epoch=033, loss=9.6736, con=8.9318, intent=2.4571, rec=0.0028, this epoch 0.9519, total 32.3713
(T) | Epoch=034, loss=9.6453, con=8.8997, intent=2.4576, rec=0.0024, this epoch 0.9719, total 33.3431
(T) | Epoch=035, loss=9.6557, con=8.9060, intent=2.4593, rec=0.0026, this epoch 0.9656, total 34.3087
(T) | Epoch=036, loss=9.6454, con=8.8969, intent=2.4600, rec=0.0035, this epoch 0.9684, total 35.2771
(T) | Epoch=037, loss=9.5562, con=8.8066, intent=2.4591, rec=0.0039, this epoch 0.9706, total 36.2478
(T) | Epoch=038, loss=9.9244, con=9.1675, intent=2.4649, rec=0.0189, this epoch 0.9504, total 37.1981
(T) | Epoch=039, loss=9.7697, con=9.0140, intent=2.4596, rec=0.0150, this epoch 0.9616, total 38.1597
(T) | Epoch=040, loss=9.5346, con=8.7819, intent=2.4573, rec=0.0100, this epoch 0.9619, total 39.1216  alpha=[pap:0.538, psp:0.462]
(T) | Epoch=041, loss=9.6602, con=8.9071, intent=2.4586, rec=0.0024, this epoch 1.1027, total 40.2243
