[log] 运行日志写入: log/run_ACM_20260831_174943.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] psp.npz: 4338213 -> 645328 edges (avg_deg 1079 -> 161, top-k=100)
[data] 多关系 R=2: pap(53834 edges), psp(645328 edges)
[data] Graph size: 4019 nodes, 53834 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=001, loss=10.2520, con=8.9003, intent=4.9057, rec=0.0195, this epoch 2.3836, total 2.3836  alpha=[pap:0.493, psp:0.507]
(T) | Epoch=002, loss=9.9288, con=8.9196, intent=3.8951, rec=0.0075, this epoch 1.7687, total 4.1523
(T) | Epoch=003, loss=9.7721, con=8.9177, intent=3.4196, rec=0.0070, this epoch 1.7900, total 5.9423
(T) | Epoch=004, loss=9.6434, con=8.9008, intent=3.0939, rec=0.0026, this epoch 1.7971, total 7.7393
(T) | Epoch=005, loss=9.5292, con=8.8548, intent=2.8802, rec=0.0033, this epoch 1.8163, total 9.5556
(T) | Epoch=006, loss=9.4406, con=8.7982, intent=2.7533, rec=0.0053, this epoch 1.8019, total 11.3575
(T) | Epoch=007, loss=9.3334, con=8.7097, intent=2.6706, rec=0.0021, this epoch 1.8051, total 13.1626
(T) | Epoch=008, loss=9.1714, con=8.5637, intent=2.6152, rec=0.0063, this epoch 1.8061, total 14.9688
(T) | Epoch=009, loss=9.1793, con=8.5750, intent=2.5832, rec=0.0044, this epoch 1.8568, total 16.8256
(T) | Epoch=010, loss=9.1675, con=8.5623, intent=2.5587, rec=0.0090, this epoch 1.8022, total 18.6278  alpha=[pap:0.566, psp:0.434]
(T) | Epoch=011, loss=9.1514, con=8.5472, intent=2.5424, rec=0.0103, this epoch 1.8471, total 20.4749
(T) | Epoch=012, loss=9.0221, con=8.4258, intent=2.5215, rec=0.0102, this epoch 1.8788, total 22.3537
(T) | Epoch=013, loss=9.0218, con=8.4290, intent=2.5084, rec=0.0125, this epoch 1.8066, total 24.1604
(T) | Epoch=014, loss=9.0612, con=8.4641, intent=2.5069, rec=0.0163, this epoch 1.8071, total 25.9675
(T) | Epoch=015, loss=8.9891, con=8.3835, intent=2.5068, rec=0.0192, this epoch 1.8114, total 27.7789
(T) | Epoch=016, loss=9.0069, con=8.3879, intent=2.5072, rec=0.0158, this epoch 1.8157, total 29.5945
(T) | Epoch=017, loss=9.0488, con=8.4191, intent=2.5067, rec=0.0147, this epoch 1.8586, total 31.4531
(T) | Epoch=018, loss=8.9580, con=8.3248, intent=2.5042, rec=0.0154, this epoch 1.8400, total 33.2932
(T) | Epoch=019, loss=9.0702, con=8.4349, intent=2.5014, rec=0.0138, this epoch 1.8066, total 35.0998
(T) | Epoch=020, loss=9.0890, con=8.4466, intent=2.4991, rec=0.0081, this epoch 1.8080, total 36.9078  alpha=[pap:0.619, psp:0.381]
(T) | Epoch=021, loss=8.9753, con=8.3247, intent=2.4964, rec=0.0114, this epoch 1.9810, total 38.8888
(T) | Epoch=022, loss=9.0097, con=8.3494, intent=2.4926, rec=0.0104, this epoch 1.7936, total 40.6824
(T) | Epoch=023, loss=9.0652, con=8.3935, intent=2.4879, rec=0.0165, this epoch 1.9720, total 42.6544
(T) | Epoch=024, loss=9.0863, con=8.4032, intent=2.4830, rec=0.0152, this epoch 1.8013, total 44.4557
(T) | Epoch=025, loss=9.0727, con=8.3770, intent=2.4790, rec=0.0119, this epoch 1.8298, total 46.2854
(T) | Epoch=026, loss=9.0575, con=8.3495, intent=2.4767, rec=0.0084, this epoch 1.8102, total 48.0957
(T) | Epoch=027, loss=9.0613, con=8.3413, intent=2.4761, rec=0.0095, this epoch 1.8042, total 49.8999
(T) | Epoch=028, loss=9.0411, con=8.3111, intent=2.4762, rec=0.0096, this epoch 1.8579, total 51.7577
(T) | Epoch=029, loss=8.9860, con=8.2481, intent=2.4751, rec=0.0077, this epoch 1.7954, total 53.5531
(T) | Epoch=030, loss=8.9530, con=8.2086, intent=2.4738, rec=0.0072, this epoch 1.8003, total 55.3534  alpha=[pap:0.554, psp:0.446]
(T) | Epoch=031, loss=8.9589, con=8.2102, intent=2.4732, rec=0.0083, this epoch 1.8012, total 57.1546
(T) | Epoch=032, loss=8.9872, con=8.2334, intent=2.4739, rec=0.0186, this epoch 1.8094, total 58.9640
(T) | Epoch=033, loss=8.9825, con=8.2256, intent=2.4756, rec=0.0154, this epoch 1.8077, total 60.7717
(T) | Epoch=034, loss=8.9730, con=8.2149, intent=2.4775, rec=0.0153, this epoch 1.8659, total 62.6376
(T) | Epoch=035, loss=9.0104, con=8.2505, intent=2.4786, rec=0.0121, this epoch 1.8136, total 64.4512
(T) | Epoch=036, loss=9.0691, con=8.3086, intent=2.4775, rec=0.0090, this epoch 1.8497, total 66.3009
(T) | Epoch=037, loss=9.0807, con=8.3219, intent=2.4742, rec=0.0091, this epoch 1.7956, total 68.0965
