[log] 运行日志写入: log/run_DBLP_20260901_095702.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
  [cs_full_graph] DBLP: merged ['apa.npz', 'apcpa.npz', 'aptpa.npz'] -> 8947540 directed edges (no sparsify)
[data] Graph size: 4057 nodes, 7056 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] vanilla GATConv
(T) | Epoch=001, loss=10.1829, con=8.9816, intent=5.0937, rec=0.0066, this epoch 0.8610, total 0.8610
(T) | Epoch=002, loss=10.0709, con=8.9232, intent=4.4835, rec=0.0069, this epoch 0.3663, total 1.2273
(T) | Epoch=003, loss=9.8866, con=8.8724, intent=3.9507, rec=0.0038, this epoch 0.3750, total 1.6023
(T) | Epoch=004, loss=9.5839, con=8.7089, intent=3.5170, rec=0.0036, this epoch 0.3711, total 1.9734
(T) | Epoch=005, loss=9.5286, con=8.7323, intent=3.1888, rec=0.0028, this epoch 0.3723, total 2.3458
(T) | Epoch=006, loss=9.4180, con=8.6847, intent=2.9557, rec=0.0014, this epoch 0.3730, total 2.7187
(T) | Epoch=007, loss=9.1336, con=8.4525, intent=2.7958, rec=0.0014, this epoch 0.3760, total 3.0947
(T) | Epoch=008, loss=8.8244, con=8.1795, intent=2.6883, rec=0.0010, this epoch 0.3757, total 3.4705
(T) | Epoch=009, loss=8.8053, con=8.1726, intent=2.6214, rec=0.0014, this epoch 0.3709, total 3.8414
(T) | Epoch=010, loss=8.7212, con=8.0941, intent=2.5793, rec=0.0010, this epoch 0.3722, total 4.2136
(T) | Epoch=011, loss=8.5599, con=7.9293, intent=2.5523, rec=0.0012, this epoch 0.3747, total 4.5883
(T) | Epoch=012, loss=8.4193, con=7.7876, intent=2.5347, rec=0.0004, this epoch 0.3817, total 4.9700
(T) | Epoch=013, loss=8.3885, con=7.7403, intent=2.5220, rec=0.0006, this epoch 0.3739, total 5.3440
(T) | Epoch=014, loss=8.3583, con=7.6839, intent=2.5128, rec=0.0006, this epoch 0.3724, total 5.7164
(T) | Epoch=015, loss=8.2470, con=7.5501, intent=2.5060, rec=0.0010, this epoch 0.3797, total 6.0961
(T) | Epoch=016, loss=8.1645, con=7.4462, intent=2.5005, rec=0.0010, this epoch 0.3735, total 6.4696
(T) | Epoch=017, loss=8.1361, con=7.4071, intent=2.4952, rec=0.0006, this epoch 0.3732, total 6.8429
(T) | Epoch=018, loss=8.1672, con=7.4290, intent=2.4898, rec=0.0009, this epoch 0.3733, total 7.2162
(T) | Epoch=019, loss=8.1208, con=7.3783, intent=2.4852, rec=0.0015, this epoch 0.3792, total 7.5953
(T) | Epoch=020, loss=8.1469, con=7.4022, intent=2.4816, rec=0.0010, this epoch 0.3706, total 7.9659
(T) | Epoch=021, loss=8.0198, con=7.2744, intent=2.4783, rec=0.0006, this epoch 0.4466, total 8.4125
