[log] 运行日志写入: log/run_IMDB_NEW_20260831_173153.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [cs_full_graph] IMDB_NEW: merged ['mam.npz', 'mdm.npz'] -> 159228 directed edges (no sparsify)
[data] 多关系 R=2: mam(143122 edges), mdm(18710 edges)
[data] Graph size: 4500 nodes, 159228 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=001, loss=10.5575, con=9.1305, intent=5.1825, rec=0.0125, this epoch 2.2548, total 2.2548  alpha=[mam:0.518, mdm:0.482]
(T) | Epoch=002, loss=10.1896, con=9.1557, intent=4.0998, rec=0.0253, this epoch 1.9797, total 4.2345
(T) | Epoch=003, loss=9.9205, con=9.0932, intent=3.4349, rec=0.0139, this epoch 2.0529, total 6.2874
(T) | Epoch=004, loss=9.8123, con=9.0925, intent=3.0427, rec=0.0144, this epoch 2.2999, total 8.5873
(T) | Epoch=005, loss=9.7682, con=9.0946, intent=2.8113, rec=0.0136, this epoch 1.9451, total 10.5325
(T) | Epoch=006, loss=9.7610, con=9.0950, intent=2.6752, rec=0.0067, this epoch 2.0221, total 12.5546
(T) | Epoch=007, loss=9.7528, con=9.0946, intent=2.5966, rec=0.0064, this epoch 2.0003, total 14.5549
(T) | Epoch=008, loss=9.7385, con=9.0945, intent=2.5500, rec=0.0039, this epoch 2.1931, total 16.7480
(T) | Epoch=009, loss=9.7349, con=9.0942, intent=2.5221, rec=0.0028, this epoch 1.9846, total 18.7326
(T) | Epoch=010, loss=9.7383, con=9.0932, intent=2.5052, rec=0.0030, this epoch 1.9695, total 20.7021  alpha=[mam:0.593, mdm:0.407]
(T) | Epoch=011, loss=9.7407, con=9.0911, intent=2.4948, rec=0.0005, this epoch 1.8917, total 22.5938
(T) | Epoch=012, loss=9.7417, con=9.0876, intent=2.4879, rec=0.0010, this epoch 2.3391, total 24.9329
(T) | Epoch=013, loss=9.7397, con=9.0813, intent=2.4831, rec=0.0010, this epoch 1.9650, total 26.8979
(T) | Epoch=014, loss=9.7306, con=9.0700, intent=2.4793, rec=0.0002, this epoch 2.0242, total 28.9221
(T) | Epoch=015, loss=9.7097, con=9.0484, intent=2.4760, rec=0.0008, this epoch 1.9696, total 30.8917
(T) | Epoch=016, loss=9.6708, con=9.0101, intent=2.4735, rec=0.0004, this epoch 1.9650, total 32.8568
(T) | Epoch=017, loss=9.6114, con=8.9507, intent=2.4714, rec=0.0005, this epoch 2.0403, total 34.8970
(T) | Epoch=018, loss=9.5381, con=8.8771, intent=2.4686, rec=0.0005, this epoch 1.9701, total 36.8671
(T) | Epoch=019, loss=9.5929, con=8.9241, intent=2.4657, rec=0.0003, this epoch 2.3119, total 39.1790
(T) | Epoch=020, loss=9.5301, con=8.8490, intent=2.4639, rec=0.0010, this epoch 2.0994, total 41.2784  alpha=[mam:0.461, mdm:0.539]
(T) | Epoch=021, loss=9.4702, con=8.7765, intent=2.4626, rec=0.0009, this epoch 2.0873, total 43.3657
(T) | Epoch=022, loss=9.5162, con=8.8100, intent=2.4633, rec=0.0005, this epoch 2.0259, total 45.3916
(T) | Epoch=023, loss=9.3024, con=8.5863, intent=2.4641, rec=0.0008, this epoch 1.9292, total 47.3208
(T) | Epoch=024, loss=9.2025, con=8.4799, intent=2.4628, rec=0.0039, this epoch 2.1791, total 49.4999
