[log] 运行日志写入: log/run_IMDB_NEW_20260901_155318.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [cs_full_graph] IMDB_NEW: merged ['mam.npz', 'mdm.npz'] -> 159228 directed edges (no sparsify)
[data] Graph size: 4500 nodes, 159228 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] vanilla GCNConv
(T) | Epoch=001, loss=10.2946, con=9.0979, intent=4.9491, rec=0.0136, this epoch 2.3044, total 2.3044
(T) | Epoch=002, loss=10.0791, con=9.0462, intent=4.1842, rec=0.0100, this epoch 2.1104, total 4.4148
(T) | Epoch=003, loss=9.9610, con=9.0260, intent=3.6132, rec=0.0009, this epoch 2.1675, total 6.5823
(T) | Epoch=004, loss=9.7193, con=8.9220, intent=3.1927, rec=0.0007, this epoch 2.0911, total 8.6734
(T) | Epoch=005, loss=9.5491, con=8.8493, intent=2.9187, rec=0.0009, this epoch 2.1480, total 10.8214
(T) | Epoch=006, loss=9.6658, con=9.0018, intent=2.7526, rec=0.0004, this epoch 2.1048, total 12.9262
(T) | Epoch=007, loss=9.5734, con=8.9254, intent=2.6424, rec=0.0004, this epoch 2.1331, total 15.0593
(T) | Epoch=008, loss=9.5184, con=8.8833, intent=2.5757, rec=0.0002, this epoch 2.0959, total 17.1553
(T) | Epoch=009, loss=9.5651, con=8.9394, intent=2.5379, rec=0.0004, this epoch 2.1032, total 19.2585
(T) | Epoch=010, loss=9.5222, con=8.9017, intent=2.5156, rec=0.0005, this epoch 2.0928, total 21.3512
(T) | Epoch=011, loss=9.3616, con=8.7413, intent=2.5011, rec=0.0008, this epoch 2.1103, total 23.4615
(T) | Epoch=012, loss=9.4354, con=8.8096, intent=2.4902, rec=0.0024, this epoch 2.1082, total 25.5697
(T) | Epoch=013, loss=9.4744, con=8.8380, intent=2.4856, rec=0.0012, this epoch 2.1030, total 27.6728
(T) | Epoch=014, loss=9.3957, con=8.7470, intent=2.4834, rec=0.0010, this epoch 2.1176, total 29.7904
(T) | Epoch=015, loss=9.3153, con=8.6531, intent=2.4813, rec=0.0006, this epoch 2.1171, total 31.9075
(T) | Epoch=016, loss=9.3437, con=8.6654, intent=2.4782, rec=0.0007, this epoch 2.1190, total 34.0265
(T) | Epoch=017, loss=9.4792, con=8.7851, intent=2.4746, rec=0.0010, this epoch 2.1176, total 36.1441
(T) | Epoch=018, loss=9.5222, con=8.8142, intent=2.4708, rec=0.0014, this epoch 2.1001, total 38.2442
(T) | Epoch=019, loss=9.5041, con=8.7852, intent=2.4671, rec=0.0018, this epoch 2.1392, total 40.3834
(T) | Epoch=020, loss=9.3980, con=8.6711, intent=2.4637, rec=0.0016, this epoch 2.0977, total 42.4811
(T) | Epoch=021, loss=9.1392, con=8.4062, intent=2.4611, rec=0.0052, this epoch 2.2712, total 44.7523
(T) | Epoch=022, loss=9.3948, con=8.6583, intent=2.4599, rec=0.0040, this epoch 2.0947, total 46.8470
(T) | Epoch=023, loss=9.5679, con=8.8293, intent=2.4586, rec=0.0025, this epoch 2.1130, total 48.9600
(T) | Epoch=024, loss=9.6241, con=8.8843, intent=2.4571, rec=0.0028, this epoch 2.1105, total 51.0705
(T) | Epoch=025, loss=9.6182, con=8.8782, intent=2.4556, rec=0.0018, this epoch 2.1118, total 53.1823
(T) | Epoch=026, loss=9.5498, con=8.8097, intent=2.4540, rec=0.0031, this epoch 2.1605, total 55.3428
(T) | Epoch=027, loss=9.4232, con=8.6831, intent=2.4526, rec=0.0056, this epoch 2.1057, total 57.4485
(T) | Epoch=028, loss=9.1237, con=8.3838, intent=2.4514, rec=0.0054, this epoch 2.0992, total 59.5477
(T) | Epoch=029, loss=9.0964, con=8.3561, intent=2.4507, rec=0.0124, this epoch 2.1486, total 61.6963
(T) | Epoch=030, loss=9.3112, con=8.5711, intent=2.4506, rec=0.0111, this epoch 2.0939, total 63.7902
(T) | Epoch=031, loss=9.4072, con=8.6667, intent=2.4506, rec=0.0133, this epoch 2.1373, total 65.9275
(T) | Epoch=032, loss=9.4142, con=8.6739, intent=2.4503, rec=0.0139, this epoch 2.1107, total 68.0383
(T) | Epoch=033, loss=9.3809, con=8.6403, intent=2.4500, rec=0.0182, this epoch 2.1356, total 70.1739
(T) | Epoch=034, loss=9.3204, con=8.5801, intent=2.4496, rec=0.0171, this epoch 2.0952, total 72.2691
(T) | Epoch=035, loss=9.2521, con=8.5114, intent=2.4493, rec=0.0240, this epoch 2.0987, total 74.3678
(T) | Epoch=036, loss=9.2029, con=8.4627, intent=2.4491, rec=0.0193, this epoch 2.1392, total 76.5070
(T) | Epoch=037, loss=9.1349, con=8.3943, intent=2.4487, rec=0.0262, this epoch 2.0961, total 78.6031
(T) | Epoch=038, loss=9.0363, con=8.2971, intent=2.4484, rec=0.0172, this epoch 2.1325, total 80.7356
(T) | Epoch=039, loss=9.0455, con=8.3065, intent=2.4483, rec=0.0186, this epoch 2.1034, total 82.8390
(T) | Epoch=040, loss=9.0956, con=8.3567, intent=2.4485, rec=0.0201, this epoch 2.0917, total 84.9307
(T) | Epoch=041, loss=9.0960, con=8.3581, intent=2.4484, rec=0.0136, this epoch 2.2618, total 87.1925
(T) | Epoch=042, loss=9.0789, con=8.3410, intent=2.4481, rec=0.0130, this epoch 2.0890, total 89.2815
(T) | Epoch=043, loss=9.0531, con=8.3149, intent=2.4478, rec=0.0186, this epoch 2.1345, total 91.4161
(T) | Epoch=044, loss=9.1060, con=8.3684, intent=2.4475, rec=0.0144, this epoch 2.1065, total 93.5226
(T) | Epoch=045, loss=9.1606, con=8.4226, intent=2.4473, rec=0.0193, this epoch 2.0962, total 95.6188
(T) | Epoch=046, loss=9.1118, con=8.3733, intent=2.4471, rec=0.0249, this epoch 2.1030, total 97.7218
(T) | Epoch=047, loss=8.9695, con=8.2319, intent=2.4468, rec=0.0180, this epoch 2.1026, total 99.8244
(T) | Epoch=048, loss=8.8965, con=8.1587, intent=2.4466, rec=0.0220, this epoch 2.0859, total 101.9103
(T) | Epoch=049, loss=8.9278, con=8.1885, intent=2.4466, rec=0.0376, this epoch 2.1034, total 104.0137
(T) | Epoch=050, loss=9.0585, con=8.3207, intent=2.4467, rec=0.0238, this epoch 2.2078, total 106.2214
(T) | Epoch=051, loss=9.1326, con=8.3942, intent=2.4467, rec=0.0294, this epoch 2.0974, total 108.3188
(T) | Epoch=052, loss=9.1095, con=8.3725, intent=2.4466, rec=0.0162, this epoch 2.1266, total 110.4454
(T) | Epoch=053, loss=8.9706, con=8.2325, intent=2.4464, rec=0.0282, this epoch 2.1633, total 112.6087
(T) | Epoch=054, loss=9.0214, con=8.2836, intent=2.4464, rec=0.0250, this epoch 2.1030, total 114.7117
