[log] 运行日志写入: log/run_com-amazon_20260901_103509.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
[com-amazon] Loading edges from: ./datasets/com-Amazon/com-amazon.ungraph.txt
[com-amazon] Raw edges: 33767, nodes: 13178
[com-amazon] After symmetrize: 67534 edges
[com-amazon] Computing structural features...
[com-amazon] Feature dimension: 3 (structural)
[com-amazon] Loading communities from: ./datasets/com-Amazon/com-amazon.top5000.cmty.txt
[com-amazon] Total communities: 4517
[com-amazon] Nodes with community labels: 10703 / 13178
[com-amazon] Dataset summary:
  Nodes: 13178
  Edges: 67534
  Features: 3 (structural)
  Communities: 4517
  Labeled nodes: 10703
  Train/Val/Test: 6421/2140/2142
[data] Graph size: 13178 nodes, 67534 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] vanilla GCNConv
(T) | Epoch=001, loss=11.4381, con=10.1748, intent=5.0666, rec=0.0004, this epoch 1.8730, total 1.8730
(T) | Epoch=002, loss=11.1266, con=10.0878, intent=4.2247, rec=0.0002, this epoch 1.4088, total 3.2818
(T) | Epoch=003, loss=11.0882, con=10.1523, intent=3.6606, rec=0.0001, this epoch 1.4177, total 4.6995
(T) | Epoch=004, loss=10.9976, con=10.1482, intent=3.2831, rec=0.0002, this epoch 1.4111, total 6.1106
(T) | Epoch=005, loss=10.8708, con=10.1280, intent=3.0259, rec=0.0002, this epoch 1.4043, total 7.5149
(T) | Epoch=006, loss=10.7721, con=10.0913, intent=2.8500, rec=0.0002, this epoch 1.4168, total 8.9316
(T) | Epoch=007, loss=10.6952, con=10.0350, intent=2.7266, rec=0.0002, this epoch 1.4061, total 10.3378
(T) | Epoch=008, loss=10.5818, con=9.9306, intent=2.6397, rec=0.0002, this epoch 1.4095, total 11.7472
(T) | Epoch=009, loss=10.3669, con=9.7309, intent=2.5811, rec=0.0002, this epoch 1.4110, total 13.1582
(T) | Epoch=010, loss=10.3047, con=9.6936, intent=2.5425, rec=0.0001, this epoch 1.4228, total 14.5810
(T) | Epoch=011, loss=10.4239, con=9.8259, intent=2.5179, rec=0.0001, this epoch 1.4104, total 15.9913
(T) | Epoch=012, loss=10.4331, con=9.8342, intent=2.5035, rec=0.0002, this epoch 1.4074, total 17.3987
(T) | Epoch=013, loss=10.3303, con=9.7217, intent=2.4949, rec=0.0002, this epoch 1.4210, total 18.8197
(T) | Epoch=014, loss=10.3761, con=9.7533, intent=2.4895, rec=0.0004, this epoch 1.4161, total 20.2357
(T) | Epoch=015, loss=10.4728, con=9.8390, intent=2.4852, rec=0.0004, this epoch 1.4084, total 21.6442
(T) | Epoch=016, loss=10.3801, con=9.7354, intent=2.4810, rec=0.0004, this epoch 1.4097, total 23.0539
(T) | Epoch=017, loss=10.2538, con=9.5975, intent=2.4770, rec=0.0003, this epoch 1.4586, total 24.5125
(T) | Epoch=018, loss=10.3756, con=9.7082, intent=2.4733, rec=0.0003, this epoch 1.5268, total 26.0393
(T) | Epoch=019, loss=10.4862, con=9.8106, intent=2.4696, rec=0.0004, this epoch 1.4085, total 27.4479
(T) | Epoch=020, loss=10.5170, con=9.8357, intent=2.4658, rec=0.0005, this epoch 1.4183, total 28.8662
(T) | Epoch=021, loss=10.4923, con=9.8100, intent=2.4620, rec=0.0002, this epoch 1.6607, total 30.5269
(T) | Epoch=022, loss=10.4510, con=9.7701, intent=2.4584, rec=0.0002, this epoch 1.4066, total 31.9335
(T) | Epoch=023, loss=10.3666, con=9.6923, intent=2.4553, rec=0.0004, this epoch 1.4084, total 33.3419
(T) | Epoch=024, loss=10.2951, con=9.6301, intent=2.4526, rec=0.0005, this epoch 1.4057, total 34.7476
(T) | Epoch=025, loss=10.3015, con=9.6514, intent=2.4506, rec=0.0005, this epoch 1.4139, total 36.1615
